,Date.Sampled,Address,HCluster,X1st.Draw,X2nd.Draw,X3rd.Draw,X4th.Draw,X5th.Draw,X6th.Draw,X7th.Draw,X8th.Draw,X9th.Draw,X10th.Draw,X11th.Draw,longitude,latitude
159,9/24/2019,"12190 S Wallace St, Chicago, IL",2,5.9,6.6,8.3,13.0,12.0,12.0,12.0,12.0,14.0,14.0,14.0,-87.63703580535407,41.67264558763012
161,11/7/2016,"12261 S Carpenter St, Chicago, IL",2,29.2,33.0,33.4,37.8,46.8,48.0,48.2,49.4,52.2,57.2,22.7,-87.64766851171937,41.67118372933986
162,1/30/2018,"12230 S Carpenter St, Chicago, IL",2,24.6,28.1,31.1,34.6,39.9,42.6,43.5,42.0,42.4,40.9,42.8,-87.64808748485676,41.6713723
163,3/13/2020,"12228 S Elizabeth St, Chicago, IL",2,16.8,7.51,7.13,7.46,9.25,8.56,8.45,8.09,7.93,7.77,6.3,-87.65277813659593,41.67162042877658
165,2/13/2020,"12510 S Edbrooke Ave, Chicago, IL",1,14.0,16.8,15.6,16.4,16.9,15.1,14.7,13.1,13.6,12.9,8.83,-87.61917029053866,41.665999049999996
166,5/26/2021,"12664 S Edbrooke Ave, Chicago, IL",3,5.6,5.16,5.69,5.05,5.17,5.05,5.1,4.12,3.6,3.34,2.85,-87.61882258578558,41.66425589982487
169,8/11/2021,"12686 S Yale Ave, Chicago, IL",4,12.2,9.12,12.3,19.0,19.6,14.9,16.9,20.0,19.2,18.1,12.4,-87.62829691552092,41.66369147112733
171,2/22/2022,"12712 S Saginaw Ave, Chicago, IL",1,16.9,9.42,11.3,10.6,10.6,14.4,25.0,26.6,26.2,26.9,26.6,-87.55833110996113,41.664198799999994
172,6/4/2021,"12781 S Sangamon St, Chicago, IL",2,131.0,41.8,14.6,9.66,10.7,8.39,7.17,4.77,6.19,4.37,2.1,-87.64492743609037,41.661983922935875
175,2/14/2017,"12860 S Wallace St, Chicago, IL",2,3.3,2.9,3.7,6.2,4.6,3.9,3.7,3.9,4.3,3.7,0.69,-87.63662593140116,41.6601146201344
177,6/17/2021,"12999 S Normal Ave, Chicago, IL",3,9.29,8.01,9.25,15.6,16.0,16.7,16.9,18.8,17.9,17.4,15.6,-87.633943,41.658777
180,7/15/2021,"1246 E 97Th Pl, Chicago, IL",5,6.41,10.3,11.8,14.9,17.7,16.7,15.2,13.0,11.3,9.99,2.66,-87.5927842545,41.717871450000004
184,12/12/2017,"1218 W Norwood St, Chicago, IL",2,11.5,12.4,15.5,17.3,16.1,16.1,17.1,15.8,15.5,15.1,13.9,-87.66125845611488,41.99201385
186,9/1/2016,"1254 W Victoria St, Chicago, IL",2,7.32,7.11,6.84,10.5,18.0,18.1,16.2,11.7,15.4,11.6,4.6,-87.66191502358832,41.98720853184171
188,9/29/2018,"13165 S Avenue N, Chicago, IL",3,13.8,14.3,17.7,13.7,7.57,6.92,6.87,6.22,6.61,5.89,3.35,-87.5385685594032,41.65618216191028
189,1/3/2020,"13192 S Burley Ave, Chicago, IL",1,26.6,57.26,64.7,59.8,57.4,52.1,49.6,44.1,40.0,29.5,16.5,-87.54482859770646,41.65572255044759
190,9/11/2019,"13112 S Muskegon Ave, Chicago, IL",4,32.0,49.2,72.9,71.8,71.1,68.0,65.0,64.3,62.8,57.5,32.0,-87.55471351671429,41.656898
191,8/20/2021,"13284 S Avenue M, Chicago, IL",2,2.67,4.09,4.32,4.26,4.25,4.34,4.22,4.49,4.45,4.8,5.48,-87.53757105849196,41.653983400296624
193,10/28/2021,"1381 E 52Nd St, Chicago, IL",2,11.6,16.0,16.5,15.6,16.3,17.5,22.1,31.2,36.2,36.9,36.7,-87.5923979990155,41.80088709691838
194,7/17/2019,"1393 E 55Th Pl, Chicago, IL",2,3.0,3.9,3.71,5.13,9.67,11.8,10.7,8.59,8.22,8.92,8.07,-87.5919074168864,41.79540585785809
195,3/30/2017,"1392 E 87Th St, Chicago, IL",3,8.73,7.9,13.4,13.0,14.5,61.4,59.9,41.6,49.2,55.6,11.8,-87.59040045454545,41.73693272727273
196,8/31/2021,"1369 E 88Th Pl, Chicago, IL",1,7.93,6.88,4.12,4.35,13.7,17.0,14.8,13.8,13.4,12.5,3.34,-87.59262701918937,41.73400235712615
197,8/5/2021,"1389 N Maplewood Ave, Chicago, IL",1,7.8,7.61,16.9,32.8,25.8,24.4,24.7,22.9,24.7,30.6,18.1,-87.69069398726549,41.90634749061956
198,7/7/2016,"1374 N Monitor Ave, Chicago, IL",1,4.4,3.9,4.6,4.4,6.3,6.4,6.8,6.0,5.4,4.4,2.8,-87.77193720618529,41.90516525342811
199,10/16/2019,"1364 W 108Th St, Chicago, IL",4,5.2,8.37,12.6,13.7,12.2,11.9,11.4,11.2,10.3,7.89,6.48,-87.65494949019342,41.69775378853495
200,2/28/2022,"1332 W 109Th St, Chicago, IL",3,7.82,9.18,11.5,12.7,11.3,12.0,15.6,25.6,31.1,28.0,19.9,-87.65549597157403,41.6959209780326
201,5/23/2021,"1348 W 61St St, Chicago, IL",2,8.96,6.4,6.85,9.27,9.2,10.6,11.1,9.71,8.66,9.4,11.6,-87.65892800113065,41.78341175
204,12/8/2021,"1382 W Carmen Ave, Chicago, IL",2,4.37,6.72,6.9,7.32,13.0,15.2,14.5,14.9,15.0,16.4,7.75,-87.66423352501232,41.974631922629115
207,8/23/2016,"1354 W Winona St, Chicago, IL",2,5.76,6.14,6.16,6.4,6.18,6.68,7.92,7.7,8.03,9.72,19.0,-87.6637183248744,41.97545055799053
208,12/7/2018,"1388 W Winona St, Chicago, IL",2,12.6,20.0,18.4,13.1,18.4,27.4,28.4,23.9,10.6,5.2,3.36,-87.66437257367534,41.97544084373879
209,2/22/2022,"1434 E 54Th St, Chicago, IL",1,5.4,5.7,9.2,11.0,12.0,12.0,12.0,12.0,14.0,17.0,10.0,-87.590242,41.798147
210,2/8/2017,"1499 E 54Th St, Chicago, IL",2,10.8,11.2,12.0,13.6,14.2,13.6,14.6,17.6,22.3,29.0,17.9,-87.589221,41.797996
211,9/15/2021,"1441 E 66Th Pl, Chicago, IL",3,10.2,12.3,12.3,12.8,12.5,11.9,1.4,12.1,10.7,10.2,6.86,-87.59029902154884,41.77413049522605
212,12/20/2019,"1482 E 90Th Pl, Chicago, IL",2,8.7,12.3,19.2,17.5,18.2,19.0,18.0,15.8,15.4,15.6,5.06,-87.59011040799766,41.73055551642933
213,9/28/2021,"1434 N Kolin Ave, Chicago, IL",2,3.85,4.02,4.3,4.52,4.48,4.18,3.89,4.03,4.03,4.03,4.4,-87.73532473881286,41.90719875
214,5/27/2021,"1435 N Lockwood Ave, Chicago, IL",5,5.69,5.05,4.91,7.32,8.8,9.22,7.95,6.24,4.96,3.86,3.23,-87.75808792141373,41.90695695
215,9/16/2019,"1421 N Lorel Ave, Chicago, IL",3,11.0,24.0,54.2,46.4,36.0,29.9,23.8,21.7,23.9,24.4,21.1,-87.75930777540282,41.90652535
217,10/8/2021,"1431 N Wood St, Chicago, IL",2,7.34,7.95,7.27,6.44,8.45,9.01,9.09,9.06,8.73,8.07,6.23,-87.67239866666667,41.9080915
218,12/13/2021,"1497 N Wood St, Chicago, IL",2,7.8,11.0,10.0,8.3,8.0,6.7,5.8,5.6,5.3,5.3,4.9,-87.67241985714286,41.90894933333333
220,8/27/2021,"1458 W 107Th St, Chicago, IL",4,7.8,9.15,8.77,9.34,8.83,8.59,11.2,14.7,15.0,15.2,15.7,-87.65957449999999,41.69965259999999
221,2/6/2020,"1453 W 123Rd St, Chicago, IL",2,4.59,5.68,2.78,2.91,2.49,4.2,2.32,2.39,2.5,2.98,2.12,-87.65839548148148,41.67021603703704
222,2/7/2022,"1493 W Carmen Ave, Chicago, IL",5,8.4,13.1,17.8,18.3,13.7,12.6,14.1,9.95,8.08,8.04,6.78,-87.66727102051802,41.97430108996352
223,1/31/2022,"1426 W Edgewater Ave, Chicago, IL",2,6.2,8.5,9.8,8.7,8.6,8.7,6.9,6.4,6.0,6.2,5.5,-87.6661252299338,41.9865134
224,11/15/2021,"1429 W Farragut Ave, Chicago, IL",1,15.0,9.6,4.9,4.4,5.2,7.2,7.4,6.9,6.5,6.7,0.96,-87.66597899379656,41.9769616
226,7/25/2018,"1415 W Flournoy St, Chicago, IL",2,2.69,2.83,2.91,2.49,2.29,2.3,2.14,2.16,2.2,2.09,1.88,-87.66244925146268,41.873100699999995
227,5/24/2018,"1471 W George St, Chicago, IL",2,3.7,5.0,5.7,5.3,5.6,5.2,4.9,5.6,11.0,13.0,8.9,-87.66539400241425,41.93418749211078
